1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
521	-0.665780	210.729710	0.029653	2.3
522	-0.730214	210.526695	0.007080	2.3
523	-0.912580	210.324200	0.030892	2.3
524	-1.018509	210.122224	0.033332	2.3
525	-0.753278	209.920765	0.010655	2.3
526	-0.426404	209.719820	0.004290	2.3
527	-0.438055	209.519387	0.014508	2.4
528	-0.023803	209.319463	0.001062	2.4
529	-0.482103	209.120048	0.004521	2.4
530	-0.726505	208.921139	0.012404	2.4
531	-0.994142	208.722733	0.026576	2.4
532	-0.060095	208.524829	0.002137	2.3
533	-0.793025	208.327425	0.024475	2.4
534	-0.837146	208.130518	0.011182	2.4
535	-0.813360	207.934107	0.008026	2.4
536	-0.592039	207.738189	0.008105	2.3
537	-0.979444	207.542762	0.022005	2.4
538	-0.531937	207.347825	0.006559	2.4
539	-0.623554	207.153376	0.004624	2.4
540	-0.394246	206.959412	0.003534	2.4
541	-0.798537	206.765932	0.009763	2.5
542	-1.025962	206.572933	0.035757	2.5
543	-1.064858	206.380414	0.044325	2.4
544	-1.006683	206.188373	0.024157	2.4
545	-0.861810	205.996807	0.007461	2.4
546	-1.087736	205.805716	0.021126	2.3
547	-0.764040	205.615096	0.006771	2.4
548	-0.594079	205.424946	0.026456	2.3
549	-0.712349	205.235265	0.005974	2.4
550	-0.842879	205.046050	0.017011	2.6
551	-0.388774	204.857299	0.014471	2.4
552	-0.677744	204.669011	0.007877	2.5
553	-0.791440	204.481184	0.006716	2.4
554	-0.926584	204.293816	0.011016	2.9
555	-0.611040	204.106905	0.022401	2.8
556	-1.038943	203.920449	0.042485	2.7
557	-0.884221	203.734447	0.012280	2.6
558	-1.007246	203.548896	0.036115	2.8
559	-0.951622	203.363795	0.014028	2.9
560	-1.006184	203.179143	0.055284	2.9
561	-0.612249	202.994937	0.009618	2.5
562	-0.521251	202.811176	0.013543	2.4
563	-0.718307	202.627857	0.005008	2.3
564	-0.374812	202.444980	0.003710	2.3
565	-1.065591	202.262543	0.008385	2.4
566	-0.761167	202.080543	0.009693	2.4
567	-1.033127	201.898979	0.015328	2.4
568	-0.642414	201.717849	0.009651	2.4
569	-0.489064	201.537153	0.006471	2.4
570	-0.641816	201.356887	0.008775	2.4
571	-0.434478	201.177050	0.007922	2.3
572	-0.409479	200.997642	0.011107	2.3
573	-1.005136	200.818659	0.010011	2.3
574	-0.386124	200.640100	0.004742	2.3
575	-0.940026	200.461965	0.042858	2.3
