1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
410	-0.783824	152.258007	0.344358	0.036502	0.8
411	-0.788525	153.258007	0.342382	0.033766	0.8
412	-0.762895	152.789797	0.343304	0.019310	0.8
413	-0.791059	153.722273	0.341472	0.022783	0.8
414	-0.799868	153.349018	0.342203	0.035306	0.8
415	-0.787185	153.929910	0.341067	0.024793	0.8
416	-0.772102	154.929658	0.339128	0.025312	0.8
417	-0.796666	155.918855	0.337232	0.044970	0.8
418	-0.792014	156.918855	0.335337	0.039970	0.9
419	-0.793274	157.918855	0.333463	0.029237	0.9
420	-0.720502	157.745691	0.333786	0.021253	0.9
421	-0.776077	158.737820	0.331943	0.024742	0.8
422	-0.760874	159.437067	0.330657	0.031921	0.9
423	-0.809754	158.972781	0.331510	0.018755	0.9
424	-0.785229	158.543351	0.332303	0.029417	0.8
425	-0.769479	158.075761	0.333170	0.040412	0.9
426	-0.774200	158.845016	0.331745	0.023337	0.9
427	-0.781547	159.845014	0.329911	0.038302	0.8
428	-0.769643	159.376827	0.330767	0.030733	0.9
429	-0.796608	158.908617	0.331628	0.024635	0.9
430	-0.761657	158.541240	0.332307	0.041750	0.9
431	-0.792863	159.541235	0.330466	0.041536	0.9
432	-0.778254	160.541232	0.328646	0.023356	0.9
433	-0.747134	161.490949	0.326935	0.034275	0.8
434	-0.806683	161.023955	0.327774	0.026424	0.9
435	-0.786725	162.023889	0.325983	0.048391	0.9
436	-0.768486	162.761679	0.324675	0.025884	0.8
437	-0.771244	163.757031	0.322925	0.035379	0.9
438	-0.775858	163.291269	0.323742	0.024887	0.9
439	-0.783626	162.896021	0.324437	0.031663	0.9
440	-0.785746	162.427815	0.325266	0.041113	0.9
441	-0.778780	163.427813	0.323502	0.020373	0.8
442	-0.784399	164.363523	0.321869	0.032187	0.8
443	-0.774041	164.351107	0.321890	0.037154	0.8
444	-0.800940	165.351107	0.320163	0.037674	0.8
445	-0.785281	166.351099	0.318454	0.050113	0.8
446	-0.740022	165.882892	0.319252	0.031230	0.9
447	-0.806595	166.882892	0.317553	0.035816	0.8
448	-0.767749	167.841449	0.315941	0.029406	0.8
449	-0.780616	167.633205	0.316290	0.017001	0.8
450	-0.769260	168.470746	0.314892	0.031651	0.8
451	-0.778313	168.009182	0.315661	0.046734	0.8
452	-0.787140	167.541016	0.316444	0.026489	0.8
453	-0.783478	168.541016	0.314775	0.034412	0.8
454	-0.766469	169.540998	0.313123	0.040517	0.8
455	-0.793205	169.072788	0.313894	0.022677	0.8
456	-0.812324	170.072611	0.312252	0.031101	0.8
457	-0.770793	170.897619	0.310909	0.022760	0.9
458	-0.770838	171.897509	0.309298	0.028624	0.8
459	-0.768053	172.897069	0.307703	0.025754	1.0
460	-0.764856	172.555492	0.308246	0.027700	0.8
461	-0.774027	173.525342	0.306709	0.040146	0.8
462	-0.804744	174.087557	0.305825	0.026009	0.8
463	-0.773628	173.619537	0.306561	0.029424	0.8
464	-0.792538	173.151327	0.307300	0.043633	0.8
465	-0.769241	172.683128	0.308043	0.033259	0.8
466	-0.773394	173.683128	0.306461	0.040389	0.8
467	-0.764385	174.682261	0.304896	0.020827	0.8
468	-0.762807	174.680145	0.304899	0.031713	0.8
469	-0.786933	175.537427	0.303569	0.023989	0.8
470	-0.787638	175.080308	0.304277	0.034551	0.8
471	-0.801321	174.696351	0.304874	0.034906	0.8
472	-0.781220	175.550181	0.303550	0.047841	0.8
473	-0.792367	175.081971	0.304274	0.048879	0.8
474	-0.798340	176.081971	0.302731	0.033345	0.8
475	-0.804045	175.613761	0.303452	0.028755	0.8
476	-0.780074	176.613199	0.301917	0.038145	0.8
477	-0.781597	176.149214	0.302627	0.035977	0.8
478	-0.794552	177.149214	0.301100	0.050236	0.8
479	-0.780905	178.149213	0.299588	0.064898	0.8
480	-0.794900	179.149213	0.298091	0.033050	0.8
481	-0.765868	178.681006	0.298790	0.019569	0.8
482	-0.794266	179.387824	0.297736	0.034183	0.9
483	-0.771341	180.387567	0.296258	0.021021	0.9
484	-0.788891	181.387499	0.294795	0.027517	0.9
485	-0.802473	181.669357	0.294385	0.037323	0.8
486	-0.775393	182.669357	0.292939	0.035858	0.8
487	-0.768244	183.669357	0.291508	0.033351	0.8
488	-0.759420	184.669357	0.290091	0.021404	0.8
489	-0.765653	185.669355	0.288687	0.034898	0.8
490	-0.799751	186.585060	0.287413	0.030286	0.8
491	-0.762733	187.584935	0.286036	0.024750	0.8
492	-0.775556	187.116733	0.286679	0.034326	0.8
493	-0.748656	186.661876	0.287307	0.035247	0.8
494	-0.769823	187.661199	0.285931	0.031888	0.8
495	-0.777634	187.251177	0.286494	0.026427	0.8
496	-0.786736	188.225440	0.285160	0.039014	0.8
497	-0.785332	187.757230	0.285800	0.020589	0.8
498	-0.805403	188.753368	0.284442	0.034760	0.9
499	-0.799463	188.286000	0.285078	0.027649	0.8
